Chopin\The Very Best Of Chopin
Barcarolle in F-sharp major, Op. 60\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfa1Nlam5YZzBjOHM
12 Etudes, Op. 10: No. 12 in C minor, "Revolutionary"\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfSWg1ZjJaenJ4LXM
Étude in E major, Op. 10 No. 3 "Tristesse"\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfOC0xbmxST19LeEU
Ballade No. 3 in A flat major, Op. 47\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfVkd3dHZoZTNGQWM
Nocturne in E-flat major, Op. 9 No. 2\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfcUNVQkFRQnd1bWc
Nocturne No. 19 in E minor, Op. 72/1\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfN3V2ZWlDb3paOEE
Cello Sonata in G minor, Op. 65: III. Largo\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfUFNBOWdFdUF1N1E
Waltz No. 1 in E flat major, Op. 18, "Grande valse brillante"\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfTGFvSXV6WXgwcnM
Waltz No. 6 in D flat major, Op. 64/1, "Minute"\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfZ2h3TFZpTTlycVU
Andante spianato in G major, Op. 22: II. Grande polonaise brilliante\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfT3R5TUNObHFuVU0
Nocturne No. 8 in D flat major, Op. 27/2\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfVjBOZnVJM2czQTQ
24 Preludes, Op. 28: No. 15 in D flat major\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfR1hNYjZNbFZuQ1k
Scherzo No. 2 in B-flat minor, Op. 31\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfMjBfcm91eW1LcnM
Mazurka No. 23 in D major, Op. 33/2\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfWWlFMHNadkNFYkE
Nocturne No. 20 in C sharp minor, Op. posth.\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfTE95NEVEMDlKYVE
Fantasy - Impromptu in C sharp minor, Op. 66\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfSG43UXhvRVpxd1U
Piano Concerto No. 2 in F minor, Op. 21: II. Larghetto\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfYmJ2RExzNEpFRlk
Waltz No. 7 in C sharp minor, Op. 64/2\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfUlBXajJtRjhPZ1U
Nocturne No. 5 in F sharp major, Op. 15/2\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfY0xmRk40QXR1clE
Polonaise No. 6 in A flat major, Op. 53, "Heroic"\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfRmVjSllTX0hZX0k
Mazurka No. 13 in A minor, Op. 17/4\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfV3R0WGtHY1lidkk
Berceuse in D flat major, Op. 57\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfbGZTUTJuUXRiWVU
Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funèbre: Lento\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfQ1dIa0xhYUJMcGs
Piano Concerto No. 1 in E minor, Op. 11: II. Romance: Larghetto\https://drive.google.com/uc?export=download&id=0B5c0AVRGXEVfc1k3eUVzampQWlU
