Queen\A Kind Of Magic
One Vision\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLWHktcnFBN2xLUXM
A Kind Of Magic\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLUmlkaFdaajVHSlk
One Year Of Love\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLZEVEM2hoNjZ3RWM
Pain Is So Close To Pleasure\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLXy1WQkxGS1g4bTA
Friends Will Be Friends\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLUzMtb0luaEpSalU
Who Wants To Live Forever\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLTmZURUpuQkNBWU0
Gimme The Prize\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLRzVYSUpQdF83Z0k
Don't Lose Your Head\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLVEphbWtteGFHYXM
Princes Of The Universe\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLOVU5c0ZlTWNIRDQ
