High Voltage [1995, Albert, 4770822]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/High_Voltage_1995_Albert_4770822.dat\https://upload.wikimedia.org/wikipedia/en/e/e8/AustralianHighVoltage_ACDC.jpg
T.N.T. [1995, Albert, 4770832]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/TNT_1995_Albert_4770832.dat\https://upload.wikimedia.org/wikipedia/en/1/17/ACDC-TNT.jpg
Dirty Deeds Done Dirt Cheap [1994, ATCO Rec., 7567-92414-2]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Dirty_Deeds_Done_Dirt_Cheap_1994_ATCO_Rec_7567924142.dat\https://upload.wikimedia.org/wikipedia/en/a/a0/DCalbum.jpg
High Voltage [1994, ATCO Rec., 7567-92413-2]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/High_Voltage_1994_ATCO_Rec_7567924132.dat\https://upload.wikimedia.org/wikipedia/en/f/fc/Acdc_high_voltage_international_album.jpg
Let There Be Rock [1994, ATCO Rec., 7567-92445-2]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Let_There_Be_Rock_1994_ATCO_Rec_7567924452.dat\https://upload.wikimedia.org/wikipedia/en/d/d7/ACDC-LetThereBeRock.jpg
Powerage [1995, Albert, 4770862]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Powerage_1995_Albert_4770862.dat\https://upload.wikimedia.org/wikipedia/en/d/de/Acdc_Powerage.JPG
Highway To Hell [1995, Albert, 4770882]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Highway_To_Hell_1995_Albert_4770882.dat\https://upload.wikimedia.org/wikipedia/en/a/ac/Acdc_Highway_to_Hell.JPG
Back In Black [1995, Albert, 4770892]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Back_In_Black_1995_Albert_4770892.dat\https://upload.wikimedia.org/wikipedia/commons/9/92/ACDC_Back_in_Black.png
For Those About To Rock (We Salute You) [1995, Albert, 4770902]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/For_Those_About_To_Rock_We_Salute_You_1995_Albert_4770902.dat\https://upload.wikimedia.org/wikipedia/en/5/5c/ForThoseAboutToRock_ACDCalbum.jpg
Flick Of The Switch [1995, Albert, 4770912]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Flick_Of_The_Switch_1995_Albert_4770912.dat\https://upload.wikimedia.org/wikipedia/en/8/8d/Ac-dc_Flick_of_the_Switch.JPG
'74 Jailbreak [1994, ATCO Rec., 7567-92449-2]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/74_Jailbreak_1994_ATCO_Rec_7567924492.dat\https://upload.wikimedia.org/wikipedia/en/d/dd/Ac-dc-74-jailbreak-cover.jpg
Fly On The Wall [2008, Sony Music Japan, SICP 1710]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Fly_On_The_Wall_2008_Sony_Music_Japan_SICP_1710.dat\https://upload.wikimedia.org/wikipedia/en/0/09/Fly_On_The_Wall.jpg
Blow Up Your Video [2008, Sony Music Japan, SICP 1711]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Blow_Up_Your_Video_2008_Sony_Music_Japan_SICP_1711.dat\https://upload.wikimedia.org/wikipedia/en/8/80/Blowupyourvideo.jpg
The Razors Edge [2008, Sony Music Japan, SICP 1712]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/The_Razors_Edge_2008_Sony_Music_Japan_SICP_1712.dat\https://upload.wikimedia.org/wikipedia/en/a/a8/Razorsedge.jpg
Ballbreaker [2008, Sony Music Japan, SICP 1717]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Ballbreaker_2008_Sony_Music_Japan_SICP_1717.dat\https://upload.wikimedia.org/wikipedia/en/5/52/Ballbreaker.jpg
Stiff Upper Lip [2008, Sony Music Japan, SICP 1718]\https://raw.githubusercontent.com/shiabehugo/48otw/master/data/AC_DC/Stiff_Upper_Lip_2008_Sony_Music_Japan_SICP_1718.dat\https://upload.wikimedia.org/wikipedia/en/0/09/Stiff_Upper_Lip.jpg
