Chopin\The Very Best Of Chopin
Barcarolle in F-sharp major, Op. 60\Frederic_Chopin/The Very Best (naxos 2005)/101_Barcarolle in F sharp major Op. 60.mp3
Étude in E major, Op. 10 No. 3 "Tristesse"\Frederic_Chopin/The Very Best (naxos 2005)/102_Etude Op. 10 No. 3 - Tristesse.mp3
Nocturne in E-flat major, Op. 9 No. 2\Frederic_Chopin/The Very Best (naxos 2005)/103_Nocturne in E flat major Op. 9 No. 2.mp3
Cello Sonata in G minor, Op. 65: III. Largo\Frederic_Chopin/The Very Best (naxos 2005)/104_Cello Sonata - Largo.mp3
Waltz No. 6 in D flat major, Op. 64/1, "Minute"\Frederic_Chopin/The Very Best (naxos 2005)/202_Ballade No. 3 in A flat major.mp3
Nocturne No. 8 in D flat major, Op. 27/2\Frederic_Chopin/The Very Best (naxos 2005)/106_Nocturne in D flat major.mp3
Scherzo No. 2 in B-flat minor, Op. 31\Frederic_Chopin/The Very Best (naxos 2005)/202_Ballade No. 3 in A flat major.mp3
Nocturne No. 20 in C sharp minor, Op. posth.\Frederic_Chopin/The Very Best (naxos 2005)/108_Nocturne in C sharp minor.mp3
Piano Concerto No. 2 in F minor, Op. 21: II. Larghetto\Frederic_Chopin/The Very Best (naxos 2005)/109_Piano Concerto No. 2 - Larghetto.mp3
Nocturne No. 5 in F sharp major, Op. 15/2\Frederic_Chopin/The Very Best (naxos 2005)/110_Nocturne in F sharp major.mp3
Mazurka No. 13 in A minor, Op. 17/4\Frederic_Chopin/The Very Best (naxos 2005)/111_Mazurka in A minor.mp3
Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funèbre: Lento\Frederic_Chopin/The Very Best (naxos 2005)/112_Piano Sonata No.2 - Marche funebre.mp3
12 Etudes, Op. 10: No. 12 in C minor, "Revolutionary"\Frederic_Chopin/The Very Best (naxos 2005)/201_Etude Op. 10 No. 12 - Revolutionary.mp3
Ballade No. 3 in A flat major, Op. 47\Frederic_Chopin/The Very Best (naxos 2005)/202_Ballade No. 3 in A flat major.mp3
Nocturne No. 19 in E minor, Op. 72/1\Frederic_Chopin/The Very Best (naxos 2005)/203_Nocturne in E minor.mp3
Waltz No. 1 in E flat major, Op. 18, "Grande valse brillante"\Frederic_Chopin/The Very Best (naxos 2005)/103_Nocturne in E flat major Op. 9 No. 2.mp3
Andante spianato in G major, Op. 22: II. Grande polonaise brilliante\Frederic_Chopin/The Very Best (naxos 2005)/205_Grande Polonaise brillante.mp3
24 Preludes, Op. 28: No. 15 in D flat major\Frederic_Chopin/The Very Best (naxos 2005)/206_Prelude in D flat major.mp3
Mazurka No. 23 in D major, Op. 33/2\Frederic_Chopin/The Very Best (naxos 2005)/207_Mazurka in D major.mp3
Fantasy - Impromptu in C sharp minor, Op. 66\Frederic_Chopin/The Very Best (naxos 2005)/208_Fantaisie-Impromptu in C sharp minor.mp3
Waltz No. 7 in C sharp minor, Op. 64/2\Frederic_Chopin/The Very Best (naxos 2005)/209_Waltz in C sharp minor.mp3
Polonaise No. 6 in A flat major, Op. 53, "Heroic"\Frederic_Chopin/The Very Best (naxos 2005)/210_Polonaise in A flat major - Heroic.mp3
Berceuse in D flat major, Op. 57\Frederic_Chopin/The Very Best (naxos 2005)/211_Berceuse in D flat major.mp3
Piano Concerto No. 1 in E minor, Op. 11: II. Romance: Larghetto\Frederic_Chopin/The Very Best (naxos 2005)/212_Piano Concerto No.1 - Romanza-Larghetto.mp3
