Limp Bizkit\Three Dollar Bill, Yall$
Intro\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/01. Intro.mp3
Pollution\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/02. Pollution.mp3
Counterfeit\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/03. Counterfeit.mp3
Stuck\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/04. Stuck.mp3
Nobody Love's Me\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/05. Nobody Loves Me.mp3
Sour\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/06. Sour.mp3
Stalemate\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/07. Stalemate.mp3
Clunk\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/08. Clunk.mp3
Faith\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/09. Faith.mp3
Stink Finger\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/10. Stink Finger.mp3
Indigo Flow\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/11. Indigo Flow.mp3
Leech\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/12. Leech (Demo).mp3
Everything\Limp_Bizkit/1997 - Three Dollar Bill, Y_all$ (Japan Edition)/13. Everything.mp3
